press,title,tokenized
전자신문,"중국, 전기차 보조금 올해 말 중단에서 2년 더 연장한다","['중국', '전기차', '보조금', '올해', '말', '중단', '더', '연장']"
연합뉴스,인도네시아 자카르타 공항에 '현대차 전기차' 20대 운행 시작,"['인도네시아', '자카르타', '공항', '현대차', '전기차', '운행', '시작']"
지디넷코리아,"환경부 ""고가 전기차 보조금 제한 사실 아니다""","['환경부', '고가', '전기차', '보조금', '제한', '사실']"
KBS,전기차라서?..렌터카 사고 비용 4천만 원 '폭탄',"['전기차', '렌터카', '사고', '비용', '원', '폭탄']"
한국경제,"""전기차 시장 잡아라""..GM, 전기차 생산 확대 '시동'","['전기차', '시장', '전기차', '생산', '확대', '시동']"
아이뉴스24,"상반기 전기차 보조금, 테슬라·中업체 싹쓸이","['상반기', '전기차', '보조금', '테슬라', '업체', '싹']"
중앙일보,코로나에 배터리 값 급락..'전기차 흑자' 속도 내는 현대차,"['코로나', '배터리', '값', '급락', '전기차', '흑자', '속도', '현대차']"
연합뉴스,정의선-최태원 오늘 '전기차 회동'..어떤 얘기 오갈까,"['정의선', '최태원', '오늘', '전기차', '회', '얘기']"
연합뉴스,전기차 보조금 줄어든다..내년에 달라지는 자동차 관련 제도,"['전기차', '보조금', '내년', '자동차', '관련', '제도']"
한국경제,"[신차털기] BMW 530e, 출퇴근족 위한 '명예 전기차'","['신차', '출퇴근', '족', '위', '명예', '전기차']"
뉴시스,[車블랙박스]윤곽 드러낸 현대차 차세대 전기차..'아이오닉5' 기대감↑,"['블랙박스', '윤곽', '현대차', '차세대', '전기차', '아이오', '닉', '대감']"
뉴시스,"정부, 친환경차 배출가스 검사 제외..수소·전기차 규제 뜯어고친다","['정부', '친환', '경차', '배출', '가스', '검사', '제외', '수소', '전기차', '규제']"
오토타임즈,"[하이빔]보조금은 전기차, 회수는 배터리?","['하이', '빔', '보조금', '전기차', '회수', '배터리']"
경향신문,"전기차와 '심장' 배터리, 얼마나 아시나요","['전기차', '심장', '배터리', '얼마나']"
중앙일보,프리미엄 전기차 쏟아진다.. 'K배터리' 경쟁도 치열,"['프리미엄', '전기차', '배터리', '경쟁', '치열']"
쿠키뉴스,"커져가는 전기차시장..""보조금 지급 지속해야""","['전기차', '시장', '보조금', '지급', '지속']"
전자신문,국내 전기차 '10만대 시대' 임박..지난달 누적 등록 9만3572대,"['국내', '전기차', '시대', '임박', '지난달', '누적', '등록']"
뉴시스,전기차 팽창에 국내외 완성차-배터리 업체 간 동맹 이어질 듯,"['전기차', '팽창', '국내외', '완성', '차', '배터리', '업체', '간', '동맹', '듯']"
연합뉴스,새만금 전기차 클러스터 조성 합동 기공식 개최..10월 완공 예정,"['새만금', '전기차', '클러스터', '조성', '합동', '기공식', '개최', '완공', '예정']"
뉴시스,"연초부터 유럽 전기차 판매 2배 이상 급증..""올해 확산 원년 기대""","['연초', '유럽', '전기차', '판매', '배', '이상', '급증', '올해', '확산', '원년', '기대']"
전자신문,[이슈분석]내년 전기차 보조금 어떻게 바뀌나..올해 보다 줄어든다,"['이슈', '분석', '내년', '전기차', '보조금', '올해']"
오토타임즈,"[하이빔]수출용 중고 전기차, 배터리와 세금","['하이', '빔', '수출', '용', '중고', '전기차', '배터리', '세금']"
